provider_id	vehicle_id	option_id	option_name	option_type	unlock_fee_eur	reservation_fee_eur	fixed_fee_eur	trip_fee_eur	min_total_eur	cap_24h_eur	airport_fee_eur	drive_day_min_rate_eur	drive_night_min_rate_eur	park_day_min_rate_eur	park_night_min_rate_eur	km_rate_eur	fuel_included	parking_included	package_price_eur	included_min	included_km	over_km_rate_eur	over_day_min_rate_eur	over_night_min_rate_eur	daily_price_eur	daily_included_km	daily_unlimited_km	daily_over_km_rate_eur	source_url	notes
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2d_1000km	2 days + 1000km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	315.20	2880	1000								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2d_100km	2 days + 100km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	67.30	2880	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2d_200km	2 days + 200km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	94.80	2880	200								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2d_300km	2 days + 300km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	122.30	2880	300								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2d_500km	2 days + 500km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	177.50	2880	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2d_50km	2 days + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	53.50	2880	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2d_750km	2 days + 750km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	246.30	2880	750								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_24h	24h + 800km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	FALSE	FALSE	34	1440	800	0.15							(in-app)	Fuel+parking not included; as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2h_100km	2h + 100km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	38.70	120	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2h_10km	2h + 10km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	13.99	120	10								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2h_20km	2h + 20km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	16.70	120	20								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2h_30km	2h + 30km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	19.50	120	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
